author,editor,format_type,print_date,day_of_week_name,day_of_week_integer,publish_type,puzzle_id,title,version,percent_filled,solved,star,solving_seconds
John Lieb and Andrew Kingsley,Will Shortz,Normal,2018-04-28,Saturday,6,Daily,15036,,3,0,False,,
Peter Wentz,Will Shortz,Normal,2018-04-29,Sunday,0,Daily,15040,Mis-Unabbreviated,7,0,False,,
Bruce Haight,Will Shortz,Normal,2018-04-30,Monday,1,Daily,15075,,4,100,True,,1425
Jacob Stulberg,Will Shortz,Normal,2018-05-01,Tuesday,2,Daily,15076,,5,100,True,,1252
Bryant White,Will Shortz,Normal,2018-05-02,Wednesday,3,Daily,15077,,7,0,False,,55
Emily Carroll,Will Shortz,Normal,2018-05-03,Thursday,4,Daily,15080,,4,64,False,,1472
Michael Hawkins,Will Shortz,Normal,2018-05-04,Friday,5,Daily,15078,,4,100,True,,2967
Damon Gulczynski,Will Shortz,Normal,2018-05-05,Saturday,6,Daily,15079,,4,0,False,,
Brendan Emmett Quigley,Will Shortz,Normal,2018-05-06,Sunday,0,Daily,15081,Let's Play Two!,9,0,False,,
Julie Bérubé,Will Shortz,Normal,2018-05-07,Monday,1,Daily,15102,,16,100,True,,1530
Ori Brian,Will Shortz,Normal,2018-05-08,Tuesday,2,Daily,15098,,4,100,True,,1474
Jeff Chen,Will Shortz,Normal,2018-05-09,Wednesday,3,Daily,15099,,3,100,True,,2837
Caitlin Reid,Will Shortz,Normal,2018-05-10,Thursday,4,Daily,15097,,4,100,True,,2221
David Steinberg and Sam Ezersky,Will Shortz,Normal,2018-05-11,Friday,5,Daily,15100,,4,33,False,,1030
Alex Eylar,Will Shortz,Normal,2018-05-12,Saturday,6,Daily,15096,,5,0,False,,
Neville Fogarty and Erik Agard,Will Shortz,Normal,2018-05-13,Sunday,0,Daily,15101,Love At First Site,8,0,False,,
Andrea Carla Michaels,Will Shortz,Normal,2018-05-14,Monday,1,Daily,15137,,3,100,True,,1254
Ross Trudeau and Garry Trudeau,Will Shortz,Normal,2018-05-15,Tuesday,2,Daily,15133,,7,100,True,,1964
Jonathan Schmalzbach and Bill Albright,Will Shortz,Normal,2018-05-16,Wednesday,3,Daily,15131,,5,100,True,,2884
David J. Kahn,Will Shortz,Normal,2018-05-17,Thursday,4,Daily,15134,,8,0,False,,
Ryan McCarty,Will Shortz,Normal,2018-05-18,Friday,5,Daily,15132,,5,0,False,,
